epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.40528054038683575,0.7777777777777778,1.8645137548446655,0.21052631578947367,0.23315508021390374,0.0003
2,0.025684683894117672,0.9944444444444445,2.721454620361328,0.5789473684210527,0.5312169312169313,0.0003
3,0.050215748973035566,0.9833333333333333,3.419764757156372,0.5263157894736842,0.4647435897435897,0.0003
4,0.03754707103750358,0.9944444444444445,3.752119779586792,0.47368421052631576,0.41052631578947363,0.0003
5,0.014740569187173,1.0,5.018115043640137,0.5789473684210527,0.43188405797101453,0.00015
6,0.016886406461708248,1.0,4.582637310028076,0.6842105263157895,0.5202020202020202,0.00015
7,0.005475256727853169,1.0,4.3186936378479,0.7368421052631579,0.5616605616605617,0.00015
8,0.0005744780840662619,1.0,4.016712665557861,0.7368421052631579,0.5523809523809523,0.00015
9,0.0009115807624766603,1.0,3.989701509475708,0.7368421052631579,0.5523809523809523,0.00015
10,0.0041781547891635755,1.0,4.044321060180664,0.7368421052631579,0.5523809523809523,7.5e-05
11,0.00039131413844491664,1.0,4.1390910148620605,0.7368421052631579,0.5523809523809523,7.5e-05
12,0.0007032354551483877,1.0,4.330599784851074,0.7368421052631579,0.5523809523809523,7.5e-05
13,0.0010533352663818125,1.0,4.2529096603393555,0.7368421052631579,0.5523809523809523,3.75e-05
