epoch,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro
1,1.365456461906433,0.5128205128205128,0.4600088183421516,3.5273258686065674,0.75,0.5333333333333333
2,0.819622278213501,0.7692307692307693,0.6731209294138356,0.00759954983368516,1.0,1.0
3,0.25715754305322963,0.9230769230769231,0.8514936600042983,0.018321625888347626,1.0,1.0
4,0.037167586386203766,1.0,1.0,0.0027951316442340612,1.0,1.0
5,0.10872685226301353,0.9743589743589743,0.947089947089947,1.2306199073791504,0.625,0.6055555555555555
6,0.05347669559220473,0.9743589743589743,0.9773242630385487,1.3719302415847778,0.625,0.611111111111111
7,0.07835463061928749,0.9743589743589743,0.9558707643814026,0.7500240206718445,0.625,0.611111111111111
8,0.044824749852220215,0.9743589743589743,0.9558707643814026,0.06651899218559265,1.0,1.0
9,0.04612786881625652,1.0,1.0,0.02521277591586113,1.0,1.0
10,0.005677158323427041,1.0,1.0,0.008340300992131233,1.0,1.0
11,0.007867284934036434,1.0,1.0,0.00485236756503582,1.0,1.0
12,0.4582527223586415,0.9230769230769231,0.9377777777777778,0.0021204904187470675,1.0,1.0
13,0.0026029425595576563,1.0,1.0,0.0019381202291697264,1.0,1.0
14,0.07952476323892672,0.9743589743589743,0.9558707643814026,0.002085638465359807,1.0,1.0
15,0.029881548796159525,1.0,1.0,0.002171148080378771,1.0,1.0
