epoch,loss,val_loss,val_accuracy,val_f1_macro,lr
1,0.4943937299152215,0.5275025963783264,0.8214285714285714,0.7747035573122529,0.0003
2,0.11715810916696985,0.5579144954681396,0.8928571428571429,0.8454106280193235,0.0003
3,0.04084968217648566,0.8351503014564514,0.8214285714285714,0.7838827838827838,0.0003
4,0.03426693077199161,0.8847000002861023,0.8928571428571429,0.8832616658703616,0.00015
5,0.09629101861113061,0.7271917462348938,0.8571428571428571,0.8076923076923078,0.00015
6,0.10205992590636015,0.7907537221908569,0.8571428571428571,0.7353846153846154,0.00015
